,Date,Surface Temp,Surface Chla all,Surface Si,Surface NH4,Surface DIP,Surface NO3+2,Surface NO3,Surface NO2,Surface DIN,total_abundance,Akashiwo_sanguineum,Skeletonema,Thalassiosira_nordenskioeldii,Thalassiosira_rotula,Pseudonitzschia
0,1999-01-25,0.0,3.72,,,,,,,,124000.0,0.0,14000.0,0.0,0.0,0.0
1,1999-02-01,2.25,2.90,,,,,,,,113000.0,0.0,12000.0,0.0,0.0,0.0
2,1999-02-08,0.0,2.20,,,,,,,,107000.0,0.0,3000.0,0.0,0.0,0.0
3,1999-02-15,0.0,1.34,,,,,,,,95500.0,0.0,0.0,0.0,0.0,0.0
4,1999-02-22,0.0,12.56,,,,,,,,163500.0,0.0,6000.0,0.0,0.0,0.0
5,1999-03-01,0.0,2.27,,,,,,,,113000.0,0.0,3000.0,0.0,0.0,0.0
6,1999-03-10,0.0,2.75,,,,,,,,42500.0,0.0,3000.0,0.0,0.0,0.0
7,1999-03-16,0.0,3.15,,,,,,,,96500.0,0.0,25500.0,0.0,0.0,0.0
8,1999-03-24,5.75,7.82,,,,,,,,300500.0,0.0,52000.0,0.0,0.0,0.0
9,1999-03-29,6.25,4.81,,,,,,,,439000.0,0.0,0.0,0.0,0.0,0.0
10,1999-04-05,7.0,15.35,,,,,,,,2949300.0,0.0,33900.0,0.0,0.0,0.0
11,1999-04-12,0.0,8.74,,,,,,,,1474000.0,0.0,0.0,0.0,0.0,0.0
12,1999-04-19,0.0,2.19,,,,,,,,101000.0,0.0,10500.0,0.0,0.0,0.0
13,1999-04-26,0.0,3.75,,,,,,,,1856000.0,0.0,220000.0,0.0,0.0,0.0
14,1999-05-03,11.0,1.24,,,,,,,,767000.0,0.0,0.0,0.0,0.0,0.0
15,1999-05-10,12.5,2.62,,,,,,,,576000.0,0.0,0.0,0.0,0.0,0.0
16,1999-05-11,,,,,,,,,,,,,,,
17,1999-05-17,13.75,4.21,,,,,,,,2841000.0,0.0,0.0,0.0,0.0,0.0
18,1999-05-26,15.5,4.42,,,,,,,,1244000.0,0.0,0.0,0.0,0.0,0.0
19,1999-05-31,19.7,2.66,,,,,,,,571000.0,0.0,0.0,0.0,0.0,0.0
20,1999-06-07,18.7,4.93,,,,,,,,230000.0,0.0,0.0,0.0,0.0,0.0
21,1999-06-10,,,,,,,,,,,,,,,
22,1999-06-10,,,,,,,,,,,,,,,
23,1999-06-14,19.3,5.32,,,,,,,,92000.0,0.0,13000.0,0.0,0.0,0.0
24,1999-06-21,19.2,6.03,,,,,,,,466000.0,0.0,71000.0,0.0,0.0,0.0
25,1999-06-28,20.9,5.56,,,,,,,,2982708.0,0.0,759962.0,0.0,0.0,0.0
26,1999-07-05,23.0,11.26,,,,,,,,2670898.0,0.0,123618.0,0.0,0.0,0.0
27,1999-07-09,,,,,,,,,,,,,,,
28,1999-07-12,20.6,4.29,,,,,,,,61000.0,0.0,13000.0,0.0,0.0,0.0
29,1999-07-19,22.8,5.04,,,,,,,,215000.0,0.0,37000.0,0.0,0.0,0.0
30,1999-07-26,22.4,,,,,,,,,2933452.0,0.0,395590.0,0.0,0.0,0.0
31,1999-08-02,23.5,,,,,,,,,9106713.0,0.0,5778948.0,0.0,0.0,0.0
32,1999-08-09,23.0,14.76,,,,,,,,18627750.0,0.0,16509300.0,0.0,0.0,0.0
33,1999-08-19,,42.15,,,,,,,,6136200.0,0.0,4139500.0,0.0,0.0,0.0
34,1999-08-23,23.0,17.08,,,,,,,,214000.0,0.0,59000.0,0.0,0.0,0.0
35,1999-09-02,,2.93,,,,,,,,117000.0,0.0,22000.0,0.0,0.0,0.0
